,Year,Urban population,Rural population,"Population, female","Population, male (% of total population)","Population, total",Population growth (annual %),"Birth rate, crude (per 1,000 people)","Mortality rate, infant (per 1,000 live births)",GDP (current US$),"Inflation, GDP deflator (annual %)",GNI (current US$),Gross national expenditure (current US$),"Total reserves (includes gold, current US$)","Services, value added (current US$)",Merchandise exports (current US$),Merchandise imports (current US$),Military expenditure (current USD),Adjusted savings: education expenditure (current US$),Food production index (2014-2016 = 100)
0,1960,10157722,35796504,21159049,53.9562520321852,45954226,,45.749,184.9,3749265014.69971,,3743805557.32885,3975850482.99034,327400600.0,1367702645.94708,400000000,827000000,208845208.845209,,
1,1961,10589176,36471739,21697194,53.8955118063472,47060915,2.3797012269259,45.76,178.7,4118647627.04746,3.64646128699152,4113188163.79672,4439941201.17598,261302470.0,1489920201.59597,424000000,594000000,210105210.10521,,14.19
2,1962,10957300,37204541,22231652,53.839696451803,48161841,2.31242006400112,45.647,172.9,4310163796.72407,0.159948177876529,4304913711.46577,4641747165.0567,269316859.0,1577068458.63083,407000000,834000000,200340200.3402,,14.94
3,1963,11345748,37979302,22798530,53.779000730866,49325050,2.38650385787809,45.503,167.4,4630827383.45233,-1.14926605359157,4618647397.73205,4984460310.79378,307832196.0,1665476690.46619,407000000,985000000,219660219.66022,,15.5
4,1964,11756511,38796081,23398883,53.7137818769016,50552592,2.45821545233956,45.298,162.5,5204955900.88198,4.48844647759526,5191095684.16632,5604787904.24192,254226648.0,1848173036.53927,469000000,1070000000,257880257.880258,,15.92
5,1965,12188485,39653141,24030852,53.6456418245832,51841626,2.51791971765606,45.091,157.9,5929231415.37169,3.16588265329538,5904242167.15666,6518059638.80722,230344688.0,2216505669.8866,550000000,968000000,439635439.63544,,16.65
6,1966,12644969,40554445,24698014,53.5746502771628,53199414,2.58539639564733,44.831,154.0,6561108777.82444,4.60065831013121,6530659168.41663,6914111717.76565,208453006.0,2624737505.2499,634000000,916000000,549675549.67555,,16.66
7,1967,13126447,41503346,25401143,53.5031296933525,54629793,2.65320120242553,44.579,150.6,7464510709.7858,7.93964176579695,7414511761.44477,7961150776.98446,165486080.0,2897942041.15918,680000000,1112000000,478275478.275478,,17.78
8,1968,13632139,42492604,26136537,53.4313466700418,56124743,2.69973737137522,44.201,147.6,8041999160.0168,0.469288568146681,7976000544.30911,8368962620.74759,258389140.0,3068248635.0273,292000000,533000000,492555492.555493,,19.24
9,1969,14160809,43515996,26900599,53.3597639467027,57676805,2.7278332638243,43.724,144.8,8683116337.67325,2.33557140666495,8608117913.48173,9005249895.0021,332933120.0,3297354052.91894,332000000,713000000,552720552.720553,,19.8
10,1970,14714216,44576656,27696448,53.2871636632364,59290872,2.76002653560861,43.549,142.3,10027509449.811,3.70835302222319,9933511425.45149,10301553968.9206,194529622.0,3718185636.28727,449000000,775000000,635250635.250635,99932158.0206882,20.58
11,1971,15270833,45607948,28496527,53.1913623566149,60878781,2.64293253752341,43.445,140.0,10665896682.0664,5.87049050521757,10602710262.9147,10960100797.984,198501968.272939,3998950020.99958,492000000,608000000,739410739.410739,106027102.63,20.54
12,1972,15848050,46661515,29317529,53.0991329086996,62509565,2.64348946760201,43.342,137.8,9415016359.56604,6.77457514090709,9280297318.40882,9553469950.06027,323798402.128807,3610470122.26623,1169000000,1158000000,478207381.775708,111363567.816,21.13
13,1973,16502763,47782861,30194373,53.0309109234127,64285624,2.80164442306919,43.281,135.9,6383429490.21091,15.3014735392056,6304783732.14792,6349096755.88764,590281469.789527,2450108767.61562,1060000000,1127000000,477624634.164645,81962188.516,21.96
14,1974,17202091,48947078,31115326,52.9618792338873,66149169,2.85762988601594,43.115,133.9,8899191919.19192,26.0737017850942,8825591919.19192,9226666666.66667,688502075.449753,3546666666.66667,1193000000,2206000000,609191919.191919,123558286.866,22.79
15,1975,17945333,50181666,32093585,52.891532768088,68126999,2.94612675483924,43.017,132.2,11230606060.6061,21.0980989103002,11135306065.6566,12242929292.9293,562995171.933785,4755555555.55556,1053000000,2213000000,771161616.161616,155894284.91,23.35
16,1976,18738313,51492610,33135180,52.8196717562718,70230923,3.04151169440751,42.941,130.6,13168080808.0808,11.5024598958539,13023880818.1818,14175454545.4545,684140446.77116,5471313131.31313,1186000000,2311000000,833181818.181818,195358212.27,24.62
